,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
84,84,BLUE RIDGE,38.615,-122.124,1988,9,2076.12,356.85,0
1693,1693,BLUE RIDGE,33.91184677,-117.7019889,2020,10,5521.59,98.91,2
1447,1447,BLUECUT,34.312,-117.444,2002,6,2912.76,203.31,0
1123,1123,BLUEJAY,37.84126306,-119.6110573,2020,7,2780.19,363.6,0
1350,1350,BLUFF,34.007,-116.946,1995,10,1080.63,353.79,0
1689,1689,BOBCAT,34.33230369,-117.9296765,2020,9,45854.01,17182.89,0
1291,1291,BODEN,33.146,-116.896,1993,5,576.54,119.97,0
632,632,BODFISH,35.579,-118.388,1984,7,9384.21,552.24,0
1643,1643,BOGART,33.986,-116.933,2016,8,598.32,2.61,0
201,201,BOHEMOTASH,40.786,-122.446,1999,8,2308.05,350.1,0
630,630,BONANZA,36.744,-120.941,1984,6,4899.15,1.35,0
1696,1696,BOND,33.73979634,-117.66266,2020,12,2685.06,693.72,0
629,629,BONNHEIM,35.197,-120.394,1984,6,656.55,15.03,0
1102,1102,BOOT,38.386,-119.429,2018,9,2813.49,741.78,1
941,941,BOOTLEGGER,40.008,-119.969,2006,8,164.97,0.81,1
127,127,BORAX FIRE,38.987,-122.654,1992,9,605.07,92.52,0
1499,1499,BORDER,32.585,-116.514,2004,9,363.24,3.15,0
1634,1634,BORDER 3,32.611,-116.572,2016,6,3210.48,2.88,0
1513,1513,BORDER 50,32.577,-116.722,2005,10,1239.57,98.1,0
1592,1592,BORDER 6,32.579,-116.264,2012,5,45.45,0.0,0
872,872,BOREL,35.607,-118.5,2002,6,1411.29,0.45,0
804,804,BOREL,35.589,-118.564,1996,8,1116.81,31.86,0
675,675,BOTTCHER,36.352,-121.795,1986,11,1085.13,172.62,0
1107,1107,BOULDER,35.32,-119.93,2019,6,482.49,0.0,0
305,305,BOULDER,40.195,-120.577,2006,6,1161.45,299.52,0
1443,1443,BOUQUET,34.539,-118.436,2002,5,1880.28,105.57,0
108,108,BOW,40.723,-122.263,1990,8,630.27,71.91,0
1192,1192,BOWLES,32.945,-116.935,1984,9,1244.16,0.0,1
1209,1209,BOX CANYON (PIONEER) FIRE,34.249,-118.654,1985,10,504.54,0.0,0
1302,1302,BOX SPRINGS,33.976,-117.293,1993,10,1127.43,1.17,0
1224,1224,BRADLEY,34.312,-119.058,1986,11,4088.25,255.51,6
1426,1426,BRADLEY,34.312,-119.042,1999,12,1317.15,1.26,0
1119,1119,BRANCH,35.29474207,-120.0239454,2020,7,1174.5,38.52,0
109,109,BRANHAM,40.794,-120.425,1990,8,3849.39,0.45,0
80,80,BRANHAM II,40.766,-120.498,1988,8,747.9,0.0,0
829,829,BRECK,35.371,-118.787,1998,7,1405.98,591.66,0
757,757,BRECKENRIDGE,35.376,-118.805,1994,5,990.18,14.85,1
840,840,BRECKENRIDGE,35.407,-118.791,1998,9,540.09,90.0,1
1004,1004,BRECKENRIDGE COMPLEX,35.39,-118.698,2011,9,11022.03,628.83,0
663,663,BRICEBURG,37.632,-119.958,1985,8,437.49,77.58,0
1115,1115,BRICEBURG,37.608,-119.932,2019,10,2237.31,580.86,8
77,77,BRIDGE,38.338,-120.467,1988,7,2740.95,1153.35,1
1419,1419,BRIDGE,34.239,-117.866,1999,8,2769.57,1209.15,0
1471,1471,BRIDGE,34.176,-117.173,2003,9,477.63,91.71,0
932,932,BRODER WFU,36.145,-118.173,2006,7,1410.3,179.55,0
948,948,BROWN,35.624,-119.768,2007,6,546.93,363.42,1
962,962,BROWN,36.686,-120.921,2008,6,1609.56,0.0,0
136,136,BROWNS,40.721,-122.863,1994,7,720.0,501.84,0
8,8,BRUSHY,40.011,-121.817,1984,9,1131.3,9.36,1
665,665,BRYANT CANYON,36.445,-121.277,1986,5,856.8,13.95,1
983,983,BRYSON,35.863,-121.043,2009,8,1498.59,144.99,0
407,407,BTU LIGHTNING COMPLEX (LONG BRANCH-JACK),39.852,-121.444,2008,8,20930.85,8612.46,0
363,363,BTU LIGHTNING COMPLEX (SMOKEY),40.063,-121.621,2008,6,576.09,257.94,0
504,504,BUCK,40.442,-123.556,2015,8,782.91,47.07,0
1599,1599,BUCK,33.581,-116.856,2012,8,1044.81,9.81,0
544,544,BUCK,40.213,-123.027,2017,9,5505.57,842.67,1
1007,1007,BUCKEYE,38.253,-119.313,2011,9,480.42,32.94,9
709,709,BUCKEYE,36.543,-118.744,1988,10,1217.97,505.44,5
1556,1556,BUCKWEED,34.515,-118.446,2007,10,16726.32,202.14,0
990,990,BULL,35.812,-118.45,2010,7,6979.05,420.3,0
430,430,BULLARD,39.392,-121.146,2010,8,530.37,211.86,10
475,475,BULLY,40.461,-122.793,2014,7,4525.83,1533.69,0
640,640,BUMB,36.623,-120.979,1985,5,524.25,22.86,1
528,528,BURNEY,41.546,-123.303,2017,7,647.01,147.51,0
81,81,BURNEY FIRE,40.867,-121.599,1988,8,1228.23,861.03,0
715,715,BURROUGH,36.986,-119.338,1989,7,599.58,8.01,0
130,130,BURTON,39.674,-121.695,1992,9,2520.54,0.81,0
462,462,BUTLER,41.278,-123.392,2013,7,9736.92,3135.51,1
1544,1544,BUTLER 2,34.289,-116.993,2007,9,5976.72,987.93,0
511,511,BUTTE,38.266,-120.592,2015,9,29472.39,13317.84,0
1166,1166,BUTTE 2,35.992,-117.025,2006,7,714.24,7.29,9
